scenario,category,deterministic,mean,median,sd,p2.5,p50,p97.5,cv_pct,n,varied
organic_expansion,FW ecotoxicity,5.180253445944569e-06,9.442823691284601e-06,8.885761294453198e-06,7.639255449291724e-06,-3.942568929418318e-06,8.885761294453198e-06,2.5042670917115838e-05,80.90011737000333,1000,True
manufacturing_expansion,Land use occupation,1.804837146549139e-05,2.035859506388126e-05,1.9820424659937792e-05,4.399301992312734e-06,1.3381224803145443e-05,1.9820424659937792e-05,3.122215726328252e-05,21.609064763597836,1000,True
manufacturing_expansion,Water consumption,5.62430540814574e-10,6.148174077264163e-10,5.752038664964144e-10,2.1817015544944954e-10,3.1166523447659045e-10,5.752038664964144e-10,1.1397860741939944e-09,35.48535755619523,1000,True
manufacturing_expansion,FW eutrophication N,7.530358124587692e-10,1.077348462637389e-09,1.0362901413542557e-09,3.079813443046328e-10,6.512380769724975e-10,1.0362901413542557e-09,1.7961770403609435e-09,28.586975800817783,1000,True
manufacturing_expansion,FW eutrophication P,1.1191932707595363e-09,1.612598188833988e-09,1.511031240814371e-09,5.359487529359627e-10,9.153631925563291e-10,1.511031240814371e-09,2.958230341194598e-09,33.23510820283681,1000,True
manufacturing_expansion,Climate change rcp26,2.597480853848712e-10,3.189729408743884e-10,3.156144660237256e-10,3.9118035277955833e-11,2.5246062217282593e-10,3.156144660237256e-10,4.038984843183203e-10,12.263747254147344,1000,True
manufacturing_expansion,FW ecotoxicity,5.502202977268161e-06,9.99921075532403e-06,9.567764246324518e-06,7.94339769450052e-06,-4.017932763924473e-06,9.567764246324518e-06,2.5811995518436994e-05,79.44024672418368,1000,True
irrigation,Land use occupation,1.8039789019182734e-05,2.0510760155829665e-05,1.988958754369493e-05,4.5026644984124016e-06,1.3458705434078638e-05,1.988958754369493e-05,3.162195198895832e-05,21.952694411146105,1000,True
irrigation,Water consumption,3.1882868175433166e-05,3.18828930084568e-05,3.188287562397898e-05,7.936891344230235e-11,3.18827882997939e-05,3.188287562397898e-05,3.188308078670633e-05,0.0002489388695726266,1000,True
irrigation,FW eutrophication N,7.530357425262646e-10,1.0820298284279746e-09,1.0368365579214772e-09,3.27513858026955e-10,6.405133160847183e-10,1.0368365579214772e-09,1.917946355079441e-09,30.268468522978058,1000,True
irrigation,FW eutrophication P,1.119193212167311e-09,1.5859007971331185e-09,1.5031441030254893e-09,5.187258845237196e-10,8.938619013284237e-10,1.5031441030254893e-09,2.8485660192557656e-09,32.70859598919657,1000,True
irrigation,Climate change rcp26,5.680316524464956e-10,6.948696228710965e-10,6.866831121242408e-10,8.803569522142655e-11,5.429042430597595e-10,6.866831121242408e-10,8.870114920924044e-10,12.66938319417049,1000,True
irrigation,FW ecotoxicity,1.1492429006115745e-05,2.0953185536374032e-05,1.96747836625515e-05,1.6993376347980447e-05,-8.702640007825571e-06,1.96747836625515e-05,5.5823854038185194e-05,81.1016364002529,1000,True
